item_name,store_name,category,OOS_days,Avg_NS_Percentage,Avg_Margin_Percentage,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin
AULS473530-RRD Nuts Sw Chilli&Basil 150g,AULS.MEL104,confectionary,7,0.08531133363411048,0.06451509093792836,0.4444444444444444,1.7950000000000002,0.8294444444444444,3.1111111111111107,12.565000000000001,5.806111111111111
AULS100285-Violet Crumble Bar 50g,AULS.MEL104,confectionary,7,0.09602212469751391,0.1001822819493365,0.9230769230769231,2.9092307692307693,1.8569230769230765,6.461538461538462,20.364615384615384,12.998461538461536
AULS500177-Extra Soft Chew Gum P/Mint 22g,AULS.MEL104,confectionary,7,0.06766313741804311,0.06922729769883407,0.6666666666666666,2.4066666666666667,1.6066666666666667,4.666666666666666,16.846666666666668,11.246666666666666
AULS126943-Fruchocs Milk 150g,AULS.MEL104,confectionary,7,0.05943668738903961,0.058385391086343726,0.5,3.17,1.905,3.5,22.189999999999998,13.335
AULS316316-Boost King Size 77g,AULS.MEL104,confectionary,7,0.04992119248369652,0.048731113820097906,0.3,1.047,0.6179999999999999,2.1,7.329,4.325999999999999
AULS449772-Munch Cashew Raspberry 140g,AULS.MEL104,confectionary,7,0.1146312452759435,0.10991318046372713,0.4166666666666667,3.3966666666666665,1.9925000000000004,2.916666666666667,23.776666666666664,13.947500000000003
AULS483768-PL Sweet Dept Choc Peanuts,AULS.MEL104,confectionary,7,0.07462397975027685,0.04980381129412523,0.5238095238095238,1.3971428571428572,0.5747619047619048,3.666666666666667,9.780000000000001,4.023333333333333
AULS484480-Be Kind Hny Rstd Nut&SSalt 40g,AULS.MEL104,confectionary,7,0.11437343630067558,0.10650353492128316,1.2,4.516,2.5759999999999996,8.4,31.612000000000002,18.031999999999996
AULS494625-HL CHOC CHERRY COLL BALL,AULS.MEL104,confectionary,7,0.11981086196087165,0.11864800275223523,0.5789473684210527,2.2626315789473685,1.3652631578947367,4.052631578947368,15.83842105263158,9.556842105263158
AULS497160-Cherry Ripe Ganache 47g,AULS.MEL104,confectionary,7,0.01183577568275434,0.01076528536434553,0.14285714285714285,0.3728571428571429,0.21285714285714288,1.0,2.6100000000000003,1.4900000000000002
AULS500137-OTEP Pea & Pinto Sticks Onion,AULS.MEL104,confectionary,7,0.052968025827771895,0.046930514488694924,0.23529411764705882,1.0635294117647058,0.5764705882352942,1.6470588235294117,7.444705882352941,4.03529411764706
AULS503876-Bear Naked Peanut Butter Bar,AULS.MEL104,confectionary,7,0.03178081549666313,0.02976735490425792,0.08333333333333333,0.37666666666666665,0.21583333333333332,0.5833333333333333,2.6366666666666667,1.5108333333333333
AULS502420-Violet Crumble Bag 100g,AULS.MEL104,confectionary,7,0.2416607585443168,0.2397478854451043,0.6818181818181818,3.700454545454545,2.2454545454545447,4.7727272727272725,25.903181818181817,15.718181818181813
AULS316315-Picnic King Size 67g,AULS.MEL104,confectionary,7,0.02538246547410485,0.02505514814335223,0.11764705882352941,0.42470588235294116,0.2564705882352941,0.8235294117647058,2.972941176470588,1.795294117647059
AULS491351-Cookie+Prot. Pnut Btr 113g,AULS.MEL104,confectionary,7,0.031921438574082,0.03149133298751611,1.0,4.54,2.74,7.0,31.78,19.18
AULS504592-HL COLLAGEN Choc SeaSalt Balls,AULS.MEL104,confectionary,7,0.12002179657699993,0.1189927983688869,0.9166666666666666,3.59,2.169166666666667,6.416666666666666,25.13,15.184166666666668
AULS500133-Sunbites W/Grain Chd&Must 90g,AULS.MEL104,confectionary,7,0.010593605165554376,0.0095393453940286,0.0,0.0,0.0,0.0,0.0,0.0
AULS399793-PIR Pot Grill Sea Salt 75g,AULS.MEL105,confectionary,7,0.1334166628012861,0.11639861862824023,0.4,1.458,0.7659999999999999,2.8000000000000003,10.206,5.361999999999999
AULS316315-Picnic King Size 67g,AULS.MEL105,confectionary,7,0.044065338766024045,0.045423851171996196,0.0,0.0,0.0,0.0,0.0,0.0
AULS128392-Lindor Assorted Gift Box 150g,AULS.MEL105,confectionary,7,0.665374408901931,0.5706371303482023,0.14285714285714285,2.595714285714286,1.3400000000000003,1.0,18.17,9.380000000000003
AULS404686-Bounce Ball Cnut Macadamia 40G,AULS.MEL105,confectionary,7,0.2327772881629026,0.19406529273035872,0.21052631578947367,0.8115789473684211,0.41157894736842104,1.4736842105263157,5.681052631578948,2.8810526315789473
AULS436251-Go Nat Bkd Muesli Yog Apri 90g,AULS.MEL105,confectionary,7,0.2094629399515159,0.2133298724684821,0.14285714285714285,0.6238095238095237,0.38666666666666655,1.0,4.366666666666666,2.7066666666666657
AULS484479-Be Kind Crml Almnd & SSalt 40g,AULS.MEL105,confectionary,7,0.0551732219452711,0.05110183256849572,0.0,0.0,0.0,0.0,0.0,0.0
AULS500129-Smiths Crinkle Mac n Chees 80g,AULS.MEL105,confectionary,7,0.044065338766024045,0.04643777642137111,0.0,0.0,0.0,0.0,0.0,0.0
AULS473137-Arnott Bites TimTam Gift Box,AULS.MEL105,confectionary,7,0.1330504688503219,0.10950392693249084,0.0,0.0,0.0,0.0,0.0,0.0
AULS399793-PIR Pot Grill Sea Salt 75g,AULS.MEL110,confectionary,7,0.14630031872569432,0.13359073988090872,0.35714285714285715,1.3900000000000001,0.7707142857142858,2.5,9.73,5.3950000000000005
AULS488165-Bounty Bar 57g,AULS.MEL110,confectionary,7,0.05511142958799542,0.05386394923551885,0.0,0.0,0.0,0.0,0.0,0.0
AULS500177-Extra Soft Chew Gum P/Mint 22g,AULS.MEL110,confectionary,7,0.2694613013264064,0.2944698321155397,0.6,2.166,1.4460000000000002,4.2,15.161999999999999,10.122000000000002
AULS126943-Fruchocs Milk 150g,AULS.MEL110,confectionary,7,0.07887279087762772,0.07758852422961314,0.05263157894736842,0.3336842105263158,0.2005263157894737,0.3684210526315789,2.3357894736842106,1.4036842105263159
AULS399795-PIR Pot Grill S/C&S/Chilli 75g,AULS.MEL110,confectionary,7,0.050508443369584946,0.047245505567638436,0.1,0.40599999999999997,0.23199999999999993,0.7000000000000001,2.8419999999999996,1.6239999999999994
AULS458072-M&Ms Crispy 145g,AULS.MEL110,confectionary,7,0.09019364887425883,0.08695616757492076,0.16666666666666666,1.2083333333333333,0.7116666666666666,1.1666666666666665,8.458333333333332,4.981666666666666
AULS484478-Be Kind Drk Choc Nuts&Salt 40g,AULS.MEL110,confectionary,7,0.11246214976873099,0.11892834160129677,0.42857142857142855,1.937142857142857,1.2514285714285711,3.0,13.559999999999999,8.759999999999998
AULS500178-Extra Soft Chew Gum S/Mint 22g,AULS.MEL110,confectionary,7,0.0898204337754688,0.09815661070517989,0.2,0.722,0.48200000000000004,1.4000000000000001,5.054,3.374
AULS216587-Go Nat Almond Cashew 45g,AULS.MEL110,confectionary,7,0.29191640977027355,0.29742267621351703,0.5454545454545454,1.969090909090909,1.2254545454545456,3.818181818181818,13.783636363636363,8.578181818181818
AULS495819-Allens Frogs Alive 64g,AULS.MEL110,confectionary,7,0.03918758537295384,0.03909972874563182,0.047619047619047616,0.15,0.09142857142857143,0.3333333333333333,1.05,0.64
AULS473530-RRD Nuts Sw Chilli&Basil 150g,AULS.MEL111,confectionary,7,0.04284483413340037,0.032587961904501916,0.3333333333333333,1.3633333333333333,0.6366666666666666,2.333333333333333,9.543333333333333,4.456666666666666
AULS399793-PIR Pot Grill Sea Salt 75g,AULS.MEL111,confectionary,7,0.2250663230699528,0.20354679870194128,0.5,1.9454999999999998,1.0764999999999998,3.5,13.6185,7.535499999999999
AULS427393-Haribo Mega Roulette 45g,AULS.MEL111,confectionary,7,0.16488452060139902,0.2028643282955643,1.0833333333333333,2.4358333333333335,1.8399999999999999,7.583333333333333,17.050833333333333,12.879999999999999
AULS126943-Fruchocs Milk 150g,AULS.MEL111,confectionary,7,0.09962209599233192,0.09750795931111436,0.2222222222222222,1.4088888888888889,0.8466666666666667,1.5555555555555554,9.862222222222222,5.926666666666667
