SKU,Store,category,OOS_days,date_list,OOS_lastDay,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin,Category
AULS46206106-NRL Cowboys Footysuit Onesie,AULS.TSV101,,6,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29)]",0,0.07692307978868484,1.7461539506912231,0.0,0.46153847873210907,10.476923704147339,0.0,03-Books
AULS46206112-NRL Cowboys Footysuit Onesie,AULS.TSV101,,5,"[datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0416666679084301,0.9458333849906921,0.0,0.2083333395421505,4.729166924953461,0.0,03-Books
AULS486013GREYXL-W18 COWBOYSArcScript'47 Raglan,AULS.TSV101,,5,"[datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0416666679084301,1.1358333826065063,-0.11416666954755783,0.2083333395421505,5.679166913032532,-0.5708333477377892,03-Books
AULS478852-LP The World 2,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS486455-Simon Sidebottom 1: A Funny Th,AULS.OOL104,,3,"[datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.03703703731298447,0.33629629015922546,0.20851851999759674,0.1111111119389534,1.0088888704776764,0.6255555599927902,03-Books
AULS473598-Scarf Red Stripe,AULS.OOL104,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS501395-In a House of Lies,AULS.OOL114,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0625,1.1924999952316284,0.6700000166893005,0.4375,8.347499966621399,4.690000116825104,03-Books
AULS473946041L-LADIES ABORIGINAL FIRESTONE,AULS.OOL104,,3,"[datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.07692307978868484,1.745384693145752,1.1299999952316284,0.23076923936605453,5.236154079437256,3.3899999856948853,03-Books
AULS485002S-G WETSHIRT SET UNDERTHESEAMERM,AULS.OOL101,,3,"[datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.03846153989434242,1.0484615564346313,0.3492307662963867,0.11538461968302727,3.145384669303894,1.0476922988891602,03-Books
AULS501357-Brain,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS473944740L-LADIES ABORIGINAL CROW WOMEN,AULS.OOL104,,3,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26)]",0,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS474942M-Mac Jckt  Adult Fossil,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS501375-Robin,AULS.OOL101,,5,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28)]",0,0.20000000298023224,3.452000141143799,1.7260000705718994,1.0000000149011612,17.260000705718994,8.630000352859497,03-Books
AULS502661-Lead the Room,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS456592L-Adults tee /Croc hunter BLK,AULS.TSV101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS505619-Wheres Santa? Out of this Worl,AULS.OOL101,,5,"[datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.095238097012043,1.0199999809265137,0.4752380847930908,0.476190485060215,5.099999904632568,2.376190423965454,03-Books
AULS463026-DMZ #1 Scare of a Dare (Diary,AULS.OOL101,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
AULS475557-Ikigai,AULS.OOL114,,7,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25), datetime.date(2019, 11, 26), datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.06666667014360428,1.5146666765213013,0.8326666355133057,0.46666669100522995,10.602666735649109,5.82866644859314,03-Books
AULS489677SMOKE2XL-M ZIP HOODY CHEST BOARDS SMOKE,AULS.OOL101,,2,"[datetime.date(2019, 11, 24), datetime.date(2019, 11, 25)]",0,0.1875,6.391875267028809,1.9181249141693115,0.375,12.783750534057617,3.836249828338623,03-Books
AULS4713921-QLD StateOfOrigin Girl Ftysuit,AULS.TSV101,,2,"[datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.1111111119389534,1.6133333444595337,0.10111111402511597,0.2222222238779068,3.2266666889190674,0.20222222805023193,03-Books
AULS431147-Brain Rules (Revised edition),AULS.OOL104,,4,"[datetime.date(2019, 11, 27), datetime.date(2019, 11, 28), datetime.date(2019, 11, 29), datetime.date(2019, 11, 30)]",1,0.0,0.0,0.0,0.0,0.0,0.0,03-Books
